43.90,-110.00,gtp
48.00,-113.00,lrr
42.20,-107.20,psr
47.50,-121.10,g001
42.70,-122.20,g002
44.50,-122.70,g003
44.00,-115.00,g004
46.90,-121.30,g005
42.10,-120.90,g006
44.10,-120.50,g007
42.70,-121.40,g009
45.68,-121.27,col1
45.72,-121.56,col2
45.68,-120.82,col3
45.72,-120.21,col4
40.20,-113.30,kbnv
42.59,-117.87,reo
45.35,-117.23,joes
40.58,-111.63,alta
41.00,-107.00,c14
46.00,-114.00,c17
47.00,-112.50,c18
49.00,-114.00,c19
48.39,-115.55,lby
44.42,-111.37,ipx
42.17,-112.28,mld
41.80,-124.40,b#i
46.20,-124.20,b#j
40.40,-124.50,b#k
43.11,-112.68,pih
47.47,-115.80,s06
48.65,-123.43,cyyj
41.78,-111.85,klgu
42.92,-106.47,kcpr
40.43,-109.52,kvel
40.48,-107.22,khdn
40.78,-111.97,kslc
40.22,-111.72,kpvu
41.60,-109.07,krks
41.80,-107.20,krwl
41.20,-112.02,kogd
42.82,-108.73,klnd
43.07,-108.47,kriw
41.28,-111.03,evw
43.60,-110.73,kjac
42.92,-112.60,kpih
43.52,-112.07,kida
44.88,-116.10,myl
40.07,-118.57,klol
40.73,-114.03,kenv
40.87,-115.73,klkn
40.83,-115.78,keko
41.67,-115.78,awh
40.90,-117.80,kwmc
40.38,-120.57,ksve
43.50,-114.30,ksun
42.48,-114.48,ktwf
42.55,-113.77,kbyi
42.15,-121.73,klmt
40.15,-122.25,krbl
40.50,-122.30,krdd
40.80,-124.17,keka
40.98,-124.10,kacv
41.78,-124.23,kcec
41.50,-120.53,kaat
42.37,-122.87,kmfr
44.77,-106.97,kshr
43.97,-107.95,kwrl
44.52,-109.02,kcod
44.68,-111.12,kwys
45.80,-108.53,kbil
47.05,-109.47,klwt
45.95,-112.50,kbtm
45.25,-112.55,kldn
45.78,-111.15,kbzn
45.70,-110.45,lvm
43.57,-116.22,kboi
43.58,-118.95,kbno
44.25,-121.15,krdm
45.12,-113.88,smn
45.95,-116.13,gvl
45.68,-118.85,kpdt
44.83,-117.82,kbke
43.42,-124.25,koth
44.12,-123.22,keug
44.92,-123.00,ksle
44.58,-124.06,onp
45.60,-122.60,kpdx
45.55,-122.40,kttd
45.53,-122.95,khio
45.62,-121.17,kdls
48.22,-106.62,kggw
47.33,-106.93,jdn
46.60,-112.00,khln
46.92,-114.08,kmso
47.48,-111.37,kgtf
48.55,-109.77,khvr
48.30,-114.27,kfca
48.60,-112.37,kctb
46.57,-120.53,kykm
47.28,-121.33,smp
47.40,-120.02,eat
47.40,-120.20,keat
47.30,-119.52,keph
47.20,-119.32,kmwh
46.38,-117.02,klws
47.77,-116.82,kcoe
46.27,-119.12,kpsc
46.10,-118.28,kalw
47.63,-117.53,kgeg
46.75,-117.12,kpuw
47.70,-117.60,kotx
47.68,-117.32,ksff
48.55,-117.88,cqv
48.12,-123.50,kclm
48.42,-119.53,4om
46.15,-123.88,kast
46.97,-122.90,kolm
46.97,-123.93,khqm
47.45,-122.30,ksea
47.50,-122.22,krnt
47.53,-122.30,kbfi
47.90,-122.28,kpae
47.27,-122.58,ktiw
47.95,-124.55,uil
48.80,-122.53,kbli
40.17,-112.93,dpg
41.90,-106.19,p#5
