39.10,-106.20,ldl,ldl
35.34,-116.88,dsc,dsc
32.42,-110.73,g010,g010
38.06,-121.77,trav,trav
37.10,-122.28,pesc,pesc
37.82,-122.47,ptba,ptba
37.94,-122.50,sanq,sanq
37.07,-121.12,glry,glry
39.69,-121.91,kcic,kcic
39.17,-121.11,gvy,gvy
35.62,-119.69,lhs,lhs
35.66,-121.28,ppb,ppb
38.61,-123.21,czc,czc
38.51,-123.22,frs,frs
38.78,-122.99,cvd,cvd
37.11,-120.24,ccl,ccl
38.65,-122.87,hbg,hbg
39.00,-123.12,hld,hld
38.51,-122.96,rod,rod
33.50,-106.18,osc,osc
33.82,-106.65,95e,95e
37.20,-118.80,c01,c01
39.49,-121.61,bab,bab
32.37,-112.87,ajo,ajo
32.82,-109.68,e74,e74
37.70,-123.00,sef,sef
38.32,-123.07,bod,bod
39.50,-115.95,p68,p68
38.30,-119.16,bdg,bdg
39.20,-124.00,b#h,b0h
35.24,-119.03,bfl,bfl
32.24,-106.22,wsd,wsd
31.80,-106.40,kelp,kelp
33.23,-107.27,ktcs,ktcs
32.27,-107.72,kdmn,kdmn
31.57,-110.33,fhu,fhu
31.47,-109.60,kdug,kdug
32.12,-110.93,ktus,ktus
33.43,-112.02,kphx,kphx
32.65,-114.60,kyum,kyum
34.05,-117.60,kont,kont
33.83,-116.50,kpsp,kpsp
34.20,-118.35,kbur,kbur
34.22,-118.48,kvny,kvny
35.23,-120.63,ksbp,ksbp
32.73,-117.17,ksan,ksan
32.57,-116.98,ksdm,ksdm
33.25,-119.45,knsi,knsi
33.13,-117.28,kcrq,kcrq
32.85,-117.12,nkx,nkx
33.93,-118.40,klax,klax
33.82,-118.15,klgb,klgb
33.68,-117.87,ksna,ksna
35.52,-108.78,kgup,kgup
31.87,-106.70,kepz,kepz
35.05,-106.62,kabq,kabq
35.62,-106.08,ksaf,ksaf
36.75,-108.23,kfmn,kfmn
35.27,-113.95,igm,igm
36.93,-111.45,kpga,kpga
34.53,-112.47,prc,prc
34.65,-112.42,kprc,kprc
35.02,-110.73,kinw,kinw
34.27,-110.00,sow,sow
34.51,-109.38,sjn,sjn
35.13,-111.67,kflg,kflg
35.23,-111.82,flg,flg
35.95,-112.15,kgcn,kgcn
34.77,-114.62,keed,keed
34.92,-117.90,edw,edw
34.84,-116.78,kdag,kdag
34.73,-118.22,kwjf,kwjf
34.63,-118.08,kpmd,kpmd
35.43,-119.05,kbfl,kbfl
36.08,-115.17,klas,klas
36.62,-116.02,kdra,kdra
36.77,-119.72,kfat,kfat
34.12,-119.12,ntd,ntd
34.43,-119.83,ksba,ksba
34.75,-120.57,vbg,vbg
34.90,-120.45,ksmx,ksmx
35.66,-120.63,kprb,kprb
37.15,-107.75,kdro,kdro
39.65,-106.92,kege,kege
39.22,-106.87,kase,kase
38.53,-106.93,kguc,kguc
39.62,-110.75,puc,---
37.62,-109.47,4bl,4bl
38.37,-110.72,4hv,4hv
37.08,-113.60,ksgu,ksgu
37.70,-113.10,kcdc,kcdc
37.70,-112.15,kbce,kbce
39.12,-108.53,kgjt,kgjt
38.50,-107.90,kmtj,kmtj
39.00,-110.17,u28,u28
39.33,-112.58,u24,u24
37.37,-118.37,kbih,kbih
37.17,-120.31,mce,mce
37.28,-120.52,kmce,kmce
38.52,-121.50,ksac,ksac
38.70,-121.58,ksmf,ksmf
38.05,-117.08,ktph,ktph
38.55,-118.63,khth,khth
39.28,-114.85,kely,kely
37.62,-114.52,kp38,kp38
39.50,-119.78,krno,krno
39.57,-119.79,krev,krev
36.58,-121.85,kmry,kmry
36.66,-121.60,ksns,ksns
37.90,-121.25,ksck,ksck
37.73,-122.22,koak,koak
37.62,-122.38,ksfo,ksfo
37.37,-121.93,ksjc,ksjc
38.52,-122.82,ksts,ksts
39.28,-120.70,blu,blu
39.32,-120.13,ktrk,ktrk
38.90,-120.00,ktvl,ktvl
39.13,-123.20,kuki,kuki
35.68,-117.68,nid,nid
32.41,-106.35,p#l,p0l
36.84,-107.91,p#m,p0m
32.83,-115.58,kipl,kipl
33.63,-116.17,ktrm,ktrm
33.62,-114.72,kblh,kblh
33.08,-106.12,hmn,hmn
32.90,-106.40,e28,e28
32.55,-116.97,mmtj,mmtj
32.63,-117.00,mmml,mmml
31.63,-106.43,mmcs,mmcs
